run_timestamp,total_hits,new_leads,unique_links,sources_count,new_sources_count,sources,new_sources
20251019T224750Z,0,0,0,0,0,,
20260226T103202Z,0,0,0,0,0,,
20260227T110531Z,0,0,0,0,0,,
20260228T104650Z,0,0,0,0,0,,
20260301T105020Z,0,0,0,0,0,,
20260302T110755Z,0,0,0,0,0,,
20260303T110514Z,0,0,0,0,0,,
20260304T110245Z,0,0,0,0,0,,
20260305T110631Z,0,0,0,0,0,,
20260306T110148Z,0,0,0,0,0,,
20260307T104822Z,0,0,0,0,0,,
20260308T105027Z,0,0,0,0,0,,
20260309T110828Z,0,0,0,0,0,,
20260310T110645Z,0,0,0,0,0,,
20260311T110556Z,0,0,0,0,0,,
20260312T110555Z,0,0,0,0,0,,
20260313T110343Z,0,0,0,0,0,,
20260314T105420Z,0,0,0,0,0,,
20260315T105645Z,0,0,0,0,0,,
20260316T112622Z,0,0,0,0,0,,
20260317T111302Z,0,0,0,0,0,,
20260318T111410Z,0,0,0,0,0,,
20260319T110709Z,0,0,0,0,0,,
20260320T110339Z,0,0,0,0,0,,
20260321T105155Z,0,0,0,0,0,,
20260322T105309Z,0,0,0,0,0,,
20260323T111336Z,0,0,0,0,0,,
20260324T111338Z,0,0,0,0,0,,
20260325T111210Z,0,0,0,0,0,,
20260326T112708Z,0,0,0,0,0,,
20260327T111210Z,0,0,0,0,0,,
20260328T105739Z,0,0,0,0,0,,
20260329T105941Z,0,0,0,0,0,,
20260330T113214Z,0,0,0,0,0,,
20260331T112620Z,0,0,0,0,0,,
20260401T112920Z,0,0,0,0,0,,
20260402T112357Z,0,0,0,0,0,,
20260403T110918Z,0,0,0,0,0,,
20260404T105859Z,0,0,0,0,0,,
20260405T110058Z,0,0,0,0,0,,
20260406T112633Z,0,0,0,0,0,,
20260407T112847Z,0,0,0,0,0,,
20260408T112927Z,0,0,0,0,0,,
20260409T113049Z,0,0,0,0,0,,
20260410T112525Z,0,0,0,0,0,,
20260411T110138Z,0,0,0,0,0,,
20260412T110533Z,0,0,0,0,0,,
20260413T114918Z,0,0,0,0,0,,
20260414T113625Z,0,0,0,0,0,,
20260415T113331Z,0,0,0,0,0,,
20260416T113637Z,0,0,0,0,0,,
20260417T112912Z,0,0,0,0,0,,
20260418T110651Z,0,0,0,0,0,,
20260419T110604Z,0,0,0,0,0,,
20260420T115043Z,0,0,0,0,0,,
20260421T113727Z,0,0,0,0,0,,
20260422T113638Z,0,0,0,0,0,,
20260423T113812Z,0,0,0,0,0,,
20260424T113855Z,0,0,0,0,0,,
20260425T111051Z,0,0,0,0,0,,
20260426T111020Z,0,0,0,0,0,,
20260427T120635Z,0,0,0,0,0,,
20260428T121002Z,0,0,0,0,0,,
20260429T115859Z,0,0,0,0,0,,
20260430T115756Z,0,0,0,0,0,,
20260501T113744Z,0,0,0,0,0,,
20260502T111314Z,0,0,0,0,0,,
20260503T111043Z,0,0,0,0,0,,
20260504T120914Z,0,0,0,0,0,,
20260505T114711Z,0,0,0,0,0,,
20260506T121443Z,0,0,0,0,0,,
20260507T121608Z,0,0,0,0,0,,
20260508T115249Z,0,0,0,0,0,,
20260509T112505Z,0,0,0,0,0,,
20260510T112711Z,0,0,0,0,0,,
20260511T132243Z,0,0,0,0,0,,
